1,page,CLASSIC AN VINTAGE,,,Quantity (oz),,,
1573,198,BLUE RUN SLING,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,serve with a straw.,,
1574,,,,,,,,
1575,198,CASTLE TO CASTLE,KNAPPOGUE CASTLE 12-YEAR IRISH WHISKEY,WHISKEY (IRISH),1.5,"GARNISH: 1, BASIL SPRIG",THOMAS WAUGH 2009,
1576,198,CASTLE TO CASTLE,FUJI APPLE JUICE,JUICE (APPLE),1.5,"Short shake all the ingredients with 3 ice cubes,",,
1577,198,CASTLE TO CASTLE,LEMON JUICE,JUICE (LEMON),0.75,then strain into a pilsner glass filled with crushed,,
1578,198,CASTLE TO CASTLE,ACACIA HONEY SYRUP,SYRUP (HONEY),0.5,ice. Garnish with the basil sprig and serve with a,,
1579,,,,,,straw.,,
1580,,,,,,,,
1581,198,CRANE KICK,YAMAZAKI 12-YEAR WHISKEY,WHISKEY (JAPANESE),2,"Short shake all the ingredients with 3, cubes of ice,",BRAD FARRAN 2012,
1582,198,CRANE KICK,LAPHROAIG 10-YEAR SCOTCH,WHISKEY (SCOTCH ISLAY),0.166667,then strain into a pilsner glass filled with crushed,I wanted to devise a tiki cocktail based on,
1583,198,CRANE KICK,KALANI RON DE COCO COCONUT LIQUEUR,LIQUEUR (COCONUT),0.333334,ice. Serve with a straw. No garnish.,Japanese whiskey. But just a little bit of Kalani,
1584,198,CRANE KICK,ORANGE JUICE,JUICE (ORANGE),1,,"completely dominated the drink, so I added a",
1585,198,CRANE KICK,LEMON JUICE,JUICE (LEMON),0.5,,"TEASPOON, of peaty Scotch to balance it and",
1586,198,CRANE KICK,ORGEAT,SYRUP (ORGEAT),0.5,,create extra layers of depth.—BF,
1587,198,CRANE KICK,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
1588,,,,,,,,
1589,198,DANGEROUS LIAISONS,LAVENDER-INFUSED BERNHEIM ORIGINAL WHEAT WHISKEY,WHISKEY (WHEAT),1.5,"GARNISH: 1, GRAPEFRUIT CRESCENT",JOAQUÍN SIMÓ 2012,
1590,198,DANGEROUS LIAISONS,DOLIN BLANC VERMOUTH,VERMOUTH (BLANC),0.75,"Shake all the ingredients with ice, then strain into",,
1591,198,DANGEROUS LIAISONS,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),0.75,a highball glass filled with ice. Garnish with the,,
1592,198,DANGEROUS LIAISONS,LEMON JUICE,JUICE (LEMON),0.5,grapefruit crescent on a cocktail pick and serve,,
1593,198,DANGEROUS LIAISONS,ACACIA HONEY SYRUP,SYRUP (HONEY),0.5,with a straw.,,
1594,,,,,,,,
1595,199,DEADPAN FIX,RITTENHOUSE 100 RYE,WHISKEY (RYE),1.5,GARNISH: 1 ORANGE TWIST,JESSICA GONZALEZ 2011,
1596,199,DEADPAN FIX,CAMPARI,AMARO (APERITIVO),0.25,"Shake all the ingredients with ice, then strain into",Rye is harder to use in shaken drinks than,
1597,199,DEADPAN FIX,GRAND MARNIER,LIQUEUR (ORANGE),0.25,a coupe. Garnish with the orange twist.,bourbon; it can be a bully. But it works when,
1598,199,DEADPAN FIX,GRAPEFRUIT JUICE,JUICE (GRAPEFRUIT),0.75,,"combined with more aggressive flavors, like the",
1599,199,DEADPAN FIX,LEMON JUICE,JUICE (LEMON),0.5,,"Campari, ginger, and grapefruit here.—JG",
1600,199,DEADPAN FIX,GINGER SYRUP,SYRUP (GINGER),0.25,,,
1601,,,,,,,,
1602,199,DOC’S DRAM,OLD OVERHOLT RYE,WHISKEY (RYE),1.5,GARNISH: 1 APPLE FAN,JOAQUÍN SIMÓ 2011,
1603,199,DOC’S DRAM,RANSOM OLD TOM GIN,GIN (OLD TOM),0.5,"Shake all the ingredients with ice, then strain into",You don’t usually see rye and gin together in a,
1604,199,DOC’S DRAM,LUSTAU EAST INDIA SOLERA SHERRY,SHERRY,0.5,"a double rocks glass over 1, large ice cube.","split base, but the Old Tom is malty enough",
1605,199,DOC’S DRAM,LEMON JUICE,JUICE (LEMON),0.75,Garnish with the apple fan.,and the Overholt so soft that they work,
1606,199,DOC’S DRAM,MAPLE SYRUP,SYRUP (MAPLE),0.5,,fantastically together in this fall-spiced sour.—JS,
1607,199,DOC’S DRAM,APPLE BUTTER,BUTTER (APPLE),0.166667,,,
1608,199,DOC’S DRAM,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
1609,,,,,,,,
1610,199,DOUBLE FILL-UP,RITTENHOUSE 100 RYE,WHISKEY (RYE),2,GARNISH: 1 MINT LEAF,PHIL WARD 2008,
1611,199,DOUBLE FILL-UP,LEMON JUICE,JUICE (LEMON),0.75,"Shake all the ingredients with ice, then double",,
1612,199,DOUBLE FILL-UP,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,strain into a coupe. Garnish with the mint leaf.,,
1613,199,DOUBLE FILL-UP,POMEGRANATE MOLASSES,OTHER (POMEGRANATE MOLASSES),0.166667,,,
1614,199,DOUBLE FILL-UP,MINT LEAVES,MINT,3 leaves,,,
1615,,,,,,,,
1616,199,DR. FEELGOOD,FIG-INFUSED ELIJAH CRAIG BOURBON,WHISKEY (BOURBON),2,"Shake all the ingredients with ice, then strain into",JILLIAN VOSE 2013,
1617,199,DR. FEELGOOD,CLEAR CREEK APPLE BRANDY,BRANDY (APPLE),0.5,a large coupe. No garnish.,This is a good example of a drink that looks,
1618,199,DR. FEELGOOD,GRAND MARNIER,LIQUEUR (ORANGE),0.25,,"sweet on paper but actually isn’t, thanks to the",
1619,199,DR. FEELGOOD,LEMON JUICE,JUICE (LEMON),0.5,,bone-dry apple eau-de-vie and fig-infused,
1620,199,DR. FEELGOOD,GRANNY SMITH APPLE JUICE,JUICE (APPLE),0.5,,bourbon.—JV,
1621,199,DR. FEELGOOD,ORGEAT,SYRUP (ORGEAT),0.25,,,
1622,199,DR. FEELGOOD,GINGER SYRUP,SYRUP (GINGER),0.25,,,
1623,199,DR. FEELGOOD,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
1624,,,,,,,,
1625,200,EYE OF THE TORINO,BOWMORE 12-YEAR SCOTCH,WHISKEY (SCOTCH ISLAY),2,GARNISH: 1 PINEAPPLE WEDGE AND CHERRY,JILLIAN VOSE 2013,
1626,200,EYE OF THE TORINO,COCCHI VERMOUTH DI TORINO,VERMOUTH (SWEET),0.5,FLAG,You probably wouldn’t think of using peaty,
1627,200,EYE OF THE TORINO,PINEAPPLE JUICE,JUICE (PINEAPPLE),0.5,"Short shake all the ingredients with 3 ice cubes,","Scotch in acreamy tiki drink, but its smoky",
1628,200,EYE OF THE TORINO,LEMON JUICE,JUICE (LEMON),0.5,then strain into a coconut mug filled with crushed,flavor really stands out over all the,
1629,200,EYE OF THE TORINO,ORGEAT,SYRUP (ORGEAT),0.5,ice. Garnish with the pineapple wedge and cherry,richness.—JV,
1630,200,EYE OF THE TORINO,VANILLA SYRUP,SYRUP (VANILLA),0.166667,flag.,,
1631,200,EYE OF THE TORINO,COCO LOPEZ,CREAM (COCONUT),0.5,,,
1632,200,EYE OF THE TORINO,HEAVY CREAM,CREAM (HEAVY),0.25,,,
1633,200,EYE OF THE TORINO,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,,,
1634,200,EYE OF THE TORINO,BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.03125,,,
1635,,,,,,,,
1636,200,FIX ME UP,SAZERAC 6-YEAR RYE,WHISKEY (RYE),1,Short shake all the ingredients (except the club,THOMAS WAUGH 2009,
1637,200,FIX ME UP,LUSTAU AMONTILLADO SHERRY,SHERRY (AMONTILLADO),1.5,"soda) with 3 ice cubes, then strain into a snifter",,
1638,200,FIX ME UP,LEMON JUICE,JUICE (LEMON),0.5,"over 1, large ice cube. Pour in the club soda. No",,
1639,200,FIX ME UP,ORANGE JUICE,JUICE (ORANGE),0.5,garnish.,,
1640,200,FIX ME UP,ORGEAT,SYRUP (ORGEAT),0.75,,,
1641,200,FIX ME UP,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,,,
1642,200,FIX ME UP,CLUB SODA,SODA,0.75,,,
1643,,,,,,,,
1644,200,GROUSE RAMPANT,FUJI APPLE–INFUSED FAMOUS GROUSE SCOTCH,WHISKEY (SCOTCH BLENDED),2,GARNISH: HOUSE PEYCHAUD’S BITTERS,ALEX DAY 2008,
1645,200,GROUSE RAMPANT,LEMON JUICE,JUICE (LEMON),0.75,"Dry shake all the ingredients, then shake again",This whiskey sour variation is full of fall,
1646,200,GROUSE RAMPANT,ACACIA HONEY SYRUP,SYRUP (HONEY),0.25,with ice. Double strain into a coupe and garnish,flavors. I make an X with the bitters on top to,
1647,200,GROUSE RAMPANT,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.25,"with 2, swipes of the bitters to form an X.",evoke the Scottish flag.—AD,
1648,200,GROUSE RAMPANT,EGG WHITE,EGG (WHITE),1,,,
1649,,,,,,,,
1650,200,HONSHU PUNCH,YAMAZAKI 12-YEAR WHISKEY,WHISKEY (JAPANESE),2,"Shake all the ingredients (except the club soda),",THOMAS WAUGH 2009,
1651,200,HONSHU PUNCH,LEMON JUICE,JUICE (LEMON),0.75,"then strain into a snifter over 1, large ice cube.",,
1652,200,HONSHU PUNCH,PINEAPPLE JUICE,JUICE (PINEAPPLE),0.5,Pour in the club soda. No garnish.,,
1653,200,HONSHU PUNCH,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,,,
1654,200,HONSHU PUNCH,FEE BROTHERS WHISKEY BARREL-AGED BITTERS,BITTERS (AROMATIC),0.0625,,,
1655,200,HONSHU PUNCH,BITTER TRUTH AROMATIC BITTERS,BITTERS (AROMATIC),0.0625,,,
1656,200,HONSHU PUNCH,CLUB SODA,SODA,1,,,
1657,,,,,,,,
1658,201,LITTLE ENGINE,FAMOUS GROUSE SCOTCH,WHISKEY (SCOTCH BLENDED),2,GARNISH: 1 APPLE FAN,ALEX DAY 2009,
1659,201,LITTLE ENGINE,OTIMA 10-YEAR TAWNY PORT,WINE (PORT),0.5,"Short shake all the ingredients with 3 ice cubes,",,
1660,201,LITTLE ENGINE,LEMON JUICE,JUICE (LEMON),0.5,then double strain into a double rocks glass filled,,
1661,201,LITTLE ENGINE,MAPLE SYRUP,SYRUP (MAPLE),0.5,with crushed ice. Garnish with the apple fan and,,
1662,201,LITTLE ENGINE,APPLE BUTTER,BUTTER (APPLE),0.166667,serve with a straw.,,
1663,,,,,,,,
1664,201,MONONGAHELA MULE,RASPBERRIES,FRUIT (RASPBERRY),4 berries,GARNISH: 1 MINT SPRIG,PHIL WARD 2007,
1665,201,MONONGAHELA MULE,MINT LEAVES,MINT,6 leaves,"In a shaker, gently muddle the raspberries and",,
1666,201,MONONGAHELA MULE,OLD OVERHOLT RYE,WHISKEY (RYE),2,mint. Add the remaining ingredients and shake,,
1667,201,MONONGAHELA MULE,LEMON JUICE,JUICE (LEMON),0.75,with ice. Double strain into a highball glass filled,,
1668,201,MONONGAHELA MULE,GINGER SYRUP,SYRUP (GINGER),0.5,with ice cubes. Garnish with the mint sprig and,,
1669,,,,,,serve with a straw.,,
1670,,,,,,,,
1671,201,MRS. DOYLE,REDBREAST 12-YEAR IRISH WHISKEY,WHISKEY (IRISH),2,"Shake all the ingredients with ice, then strain into",ERYN REECE 2013,
1672,201,MRS. DOYLE,KRONAN SWEDISH PUNSCH,LIQUEUR (SWEDISH PUNSCH),0.25,a coupe. No garnish.,,
1673,201,MRS. DOYLE,LEMON JUICE,JUICE (LEMON),0.75,,,
1674,201,MRS. DOYLE,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,,,
1675,,,,,,,,
1676,201,PADDY MELT,KNAPPOGUE CASTLE 12-YEAR IRISH WHISKEY,WHISKEY (IRISH),1.5,"Shake all the ingredients with ice, then strain into",JOAQUÍN SIMÓ 2011,
1677,201,PADDY MELT,CHAMOMILE-INFUSED OLD OVERHOLT RYE,WHISKEY (RYE),0.5,a fancy fizz glass. No garnish.,Guests who swear up and down that they hate,
1678,201,PADDY MELT,AMARO MELETTI,AMARO (MILD),0.5,,whiskey will gulp down four of these in an,
1679,201,PADDY MELT,LEMON JUICE,JUICE (LEMON),0.75,,evening.—JS,
1680,201,PADDY MELT,CANE SUGAR SYRUP,SYRUP (CANE SUGAR),0.5,,,
1681,,,,,,,,
1682,202,PETE’S WORD,LAPHROAIG 10-YEAR SCOTCH,WHISKEY (SCOTCH ISLAY),0.75,"Shake all the ingredients with ice, then strain into",PHIL WARD 2008,
1683,202,PETE’S WORD,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.75,a coupe. No garnish.,"It doesn’t make sense, but peaty Scotch and",
1684,202,PETE’S WORD,GREEN CHARTREUSE,CHARTREUSE (GREEN),0.75,,"lime juice are amazing together, so I used this",
1685,202,PETE’S WORD,LIME JUICE,JUICE (LIME),0.75,,surprising combo in a variation on the Last,
1686,,,,,,,Word.—PW,
1687,,,,,,,,
1688,,,,,,,,
1689,202,SCOTCH LADY,FAMOUS GROUSE SCOTCH,WHISKEY (SCOTCH BLENDED),1.5,GARNISH: 1 BRANDIED CHERRY,PHIL WARD 2008,
1690,202,SCOTCH LADY,LAIRD’S BONDED APPLE BRANDY,BRANDY (APPLE),0.5,"Dry shake all the ingredients, then shake again",,
1691,202,SCOTCH LADY,LEMON JUICE,JUICE (LEMON),0.75,with ice. Double strain into a coupe and garnish,,
1692,202,SCOTCH LADY,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,with the cherry.,,
1693,202,SCOTCH LADY,GRENADINE,SYRUP (GRENADINE),0.25,,,
1694,202,SCOTCH LADY,EGG WHITE,EGG (WHITE),1,,,
1695,,,,,,,,
1696,202,STRAW DOG,STRAWBERRY,FRUIT (STRAWBERRY),1 berry,GARNISH: ½ STRAWBERRY,THOMAS WAUGH 2009,
1697,202,STRAW DOG,COMPASS BOX ASYLA SCOTCH,WHISKEY (SCOTCH BLENDED),1.5,"In a shaker, gently muddle the strawberry. Add",,
1698,202,STRAW DOG,DOLIN BLANC VERMOUTH,VERMOUTH (BLANC),1,"the remaining ingredients and shake with ice, then",,
1699,202,STRAW DOG,LEMON JUICE,JUICE (LEMON),0.75,strain into a coupe. Garnish with the strawberry,,
1700,202,STRAW DOG,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,half.,,
1701,202,STRAW DOG,BITTERMENS HOPPED GRAPEFRUIT BITTERS,BITTERS (GRAPEFRUIT),0.03125,,,
1702,,,,,,,,
1703,202,SWEARENGEN SLING,BRANDIED CHERRIES,FRUIT (CHERRY),2 cherries,GARNISH: 1 BRANDIED CHERRY,BRIAN MILLER 2009,
1704,202,SWEARENGEN SLING,BULLEIT BOURBON,WHISKEY (BOURBON),2,"In a shaker, muddle the cherries. Add the",,
1705,202,SWEARENGEN SLING,AMARO NONINO,AMARO (MILD),0.5,remaining ingredients and shake with ice. Strain,,
1706,202,SWEARENGEN SLING,CHERRY HEERING,CHERRY HEERING,0.5,into a highball glass filled with ice cubes. Garnish,,
1707,202,SWEARENGEN SLING,LEMON JUICE,JUICE (LEMON),0.5,with the cherry on a cocktail pick and serve with,,
1708,202,SWEARENGEN SLING,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,a straw.,,
1709,,,,,,,,
1710,202,SWEEP THE LEG,SUNTORY HAKASHU 12-YEAR WHISKY,WHISKEY (JAPANESE),2,"GARNISH: 1 LIME WHEEL, 1 ORANGE",BRAD FARRAN 2013,
1711,202,SWEEP THE LEG,ORGEAT,SYRUP (ORGEAT),0.75,"CRESCENT, 1 BRANDIED CHERRY, 1, MINT",,
1712,202,SWEEP THE LEG,LUSTAU AMONTILLADO SHEERY,SHERRY (AMONTILLADO),0.5,SPRIG,,
1713,202,SWEEP THE LEG,LEMON JUICE,JUICE (LEMON),0.5,"Short shake all the ingredients with 3 ice cubes,",,
1714,202,SWEEP THE LEG,ORANGE JUICE,JUICE (ORANGE),0.5,then strain into a pilsner glass filled with crushed,,
1715,202,SWEEP THE LEG,ACACIA HONEY SYRUP,SYRUP (HONEY),0.25,"ice. Skewer the lime wheel, orange crescent, and",,
1716,202,SWEEP THE LEG,LUXARDO AMARO ABANO,AMARO (MEDIUM),0.166667,cherry on a cocktail pick and insert into the ice,,
1717,202,SWEEP THE LEG,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,along with a mint sprig.,,
1718,202,SWEEP THE LEG,BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.03125,,,
1719,,,,,,,,
1720,203,VAMPIRE BLUES,OLD WELLER ANTIQUE 107 BOURBON,WHISKEY (BOURBON),1.5,GARNISH: 1 CINNAMON STICK,JESSICA GONZALEZ 2009,
1721,203,VAMPIRE BLUES,EAST INDIA SOLERA SHERRY,SHERRY,0.5,"Shake all the ingredients with ice, then strain into",,
1722,203,VAMPIRE BLUES,LEMON JUICE,JUICE (LEMON),0.5,a double rocks glass filled with ice cubes. Garnish,,
1723,203,VAMPIRE BLUES,SIMPLE SYRUP,SYRUP (SIMPLE),0.5,with a few grates of the cinnamon stick over the,,
1724,203,VAMPIRE BLUES,PUMPKIN BUTTER,BUTTER (PUMPKIN),0.166667,"top, then garnish with the cinnamon stick and",,
1725,203,VAMPIRE BLUES,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.0625,serve with a straw.,,
1726,,,,,,,,
1727,203,VEJK SLING,COMPASS BOX ASYLA SCOTCH,WHISKEY (SCOTCH BLENDED),2,GARNISH: 1 LEMON TWIST,PHIL WARD 2008,
1728,203,VEJK SLING,CHAMOMILE-INFUSED BIANCO VERMOUTH,VERMOUTH (BLANC),1,Shake all the ingredients (except the club soda),The sling is a one of the oldest cocktail,
1729,203,VEJK SLING,LEMON JUICE,JUICE (LEMON),0.5,"with ice, then strain into a highball glass filled with","templates, combining some kind of booze with",
1730,203,VEJK SLING,SIMPLE SYRUP,SYRUP (SIMPLE),0.75,ice cubes. Top with club soda. Garnish with the,"lemon, sugar, and water, which could be drunk",
1731,203,VEJK SLING,HOUSE ORANGE BITTERS,BITTERS (ORANGE),0.03125,lemon twist and serve with a straw.,hot or cold. I named this loose interpretation,
1732,203,VEJK SLING,CLUB SODA,SODA,remainder,,after the Czech inspiration for the novel,
1733,,,,,,,"Catch-2,2,.—PW",
1734,,,,,,,,
1735,,,,,,,,
1736,203,WAREHOUSE C,STRAWBERRY,FRUIT (STRAWBERRY),1 berry,"In a shaker, gently muddle the strawberry. Add",JILLIAN VOSE 2013,
1737,203,WAREHOUSE C,BUFFALO TRACE BOURBON,WHISKEY (BOURBON),1.5,"the remaining ingredients and shake with ice, then","The combination of orgeat, Cinnamon Bark",
1738,203,WAREHOUSE C,LEMON JUICE,JUICE (LEMON),0.75,strain into a coupe. No garnish.,"Syrup, and Ginger Syrup is a popular trifecta",
1739,203,WAREHOUSE C,LIME JUICE,JUICE (LIME),0.25,,of sweeteners at the bar. Why use one when,
1740,203,WAREHOUSE C,ORGEAT,SYRUP (ORGEAT),0.25,,you can use three?—JV,
1741,203,WAREHOUSE C,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.25,,,
1742,203,WAREHOUSE C,GINGER SYRUP,SYRUP (GINGER),0.25,,,
1743,203,WAREHOUSE C,BITTER TRUTH AROMATIC BITTERS,BITTERS (AROMATIC),0.03125,,,
1744,,,,,,,,
1745,203,WHIRLING TIGER,BUFFALO TRACE BOURBON,WHISKEY (BOURBON),2,GARNISH: 1 FUJI APPLE SLICE,BRIAN MILLER 2008,
1746,203,WHIRLING TIGER,FUJI APPLE JUICE,JUICE (APPLE),1,"Shake all the ingredients with ice, then strain into",This bourbon-based cocktail is inspired by the,
1747,203,WHIRLING TIGER,LEMON JUICE,JUICE (LEMON),0.75,a highball glass filled with ice cubes. Garnish with,Dark and Stormy and named after a storm,
1748,203,WHIRLING TIGER,GINGER SYRUP,SYRUP (GINGER),0.5,the apple slice and serve with a straw.,chaser group based out of Kentucky.—BM,
1749,,,,,,,,
1750,,WHISKEY STIRRED,,,,,,
1751,,,,,,,,
1752,204,B.A.F.,MACALLAN FINE OAK 10-YEAR SCOTCH,WHISKEY (SCOTCH SPEYSIDE),1,Stir all the ingredients (except the lemon twist),ERYN REECE 2012,
1753,204,B.A.F.,LUSTAU OLOROSO SHERRY,SHERRY (OLOROSO),1,"over ice, then strain into a double rocks glass.",When we were developing this drink at a menu,
1754,204,B.A.F.,APEROL,AMARO (APERITIVO),0.5,Squeeze the lemon twist over the drink and,"tasting, someone took a sip and said, “This is",
1755,204,B.A.F.,GRAN CLASSICO BITTER,AMARO (APERITIVO),0.5,discard. No garnish.,bitter as fuck … but I love it.” The name,
1756,204,B.A.F.,LEMON TWIST,TWIST (LEMON),,,stuck.—ER,
1757,,,,,,,,
1758,,,,,,,,
1759,204,BELLA COHEN,KNAPPOGUE CASTLE 12-YEAR IRISH WHISKEY,WHISKEY (IRISH),1.5,GARNISH: 1 LEMON TWIST,JESSICA GONZALEZ 2011,
1760,204,BELLA COHEN,ALVEAR FESTIVAL PALE CREAM SHERRY,SHERRY (PALE CREAM),1.5,"Stir all the ingredients over ice, then strain into a",,
1761,204,BELLA COHEN,COINTREAU,LIQUEUR (ORANGE),0.5,coupe. Garnish with the lemon twist.,,
1762,204,BELLA COHEN,ST-GERMAIN,LIQUEUR (ELDERFLOWER),0.166667,,,
1763,204,BELLA COHEN,HOUSE PEYCHAUD’S BITTERS,BITTERS (CREOLE),0.03125,,,
1764,,,,,,,,
1765,204,BLACK MARKET MANHATTAN,BERNHEIM WHEAT WHISKEY,WHISKEY (WHEAT),2,GARNISH: 1 LEMON TWIST,BRIAN MILLER 2008,
1766,204,BLACK MARKET MANHATTAN,CINNAMON ORANGE TEA–INFUSED SWEET VERMOUTH,VERMOUTH (SWEET),1,"Stir all the ingredients over ice, then strain into a",I found an incredible cinnamon-orange black tea,
1767,204,BLACK MARKET MANHATTAN,ANGOSTURA BITTERS,BITTERS (AROMATIC),0.03125,coupe. Garnish with the lemon twist.,"in Seattle’s Pike Place Market, then brought it",
1768,,,,,,,to the bar and started playing around with,
1769,,,,,,,infusions. Our tea-infused sweet vermouth has,
1770,,,,,,,proven to be a key ingredient in various stirred,
1771,,,,,,,drinks and punches.—BM,
1772,,,,,,,,
1773,,,,,,,,
1774,204,BUFFALO SOLDIER,PECAN–INFUSED BUFFALO TRACE BOURBON,WHISKEY (BOURBON),2,"into a double rocks glass over 1, large ice cube.",BRIAN MILLER 2008,
1775,204,BUFFALO SOLDIER,DEMERARA SYRUP,SYRUP (DEMERARA),0.25,No garnish.,The pecan-infused bourbon tasted great on its,
1776,,,,,,,"own, but it needed some fat. I tried pretty",
1777,,,,,,,much every sweetener at the bar and finally,
1778,,,,,,,settled on Demerara Syrup.—BM,
1779,,,,,,,,
1780,,,,,,,,
1781,205,CARROLL GARDENS,RITTENHOUSE 100 RYE,WHISKEY (RYE),2,Stir all the ingredients (except the lemon twist),JOAQUÍN SIMÓ 2008,
1782,205,CARROLL GARDENS,PUNT E MES,VERMOUTH (SWEET),0.5,"over ice, then strain into a coupe. Squeeze the",This is one of several D&C spin-offs on the,
1783,205,CARROLL GARDENS,AMARO NARDINI,AMARO (MEDIUM),0.5,lemon twist over the drink and discard. No,"Brooklyn cocktail, in this case named after the",
1784,205,CARROLL GARDENS,LUXARDO MARASCHINO LIQUEUR,LIQUEUR (CHERRY),0.166667,garnish.,borough’s Italian-American neighborhood.—JS,
1785,205,CARROLL GARDENS,LEMON TWIST,TWIST (LEMON),1 twist,,,
1786,,,,,,,,
1787,205,COFFEE AND CIGARETTES,CAOL ILA 12-YEAR SCOTCH,WHISKEY (SCOTCH ISLAY),2,"Stir all the ingredients over ice, then strain into a",THOMAS WAUGH 2011,
1788,205,COFFEE AND CIGARETTES,GALLIANO RISTRETTO,LIQUEUR (GALLIANO),0.5,martini glass. No garnish.,I’d never seen a variation on the classic Rob,
1789,205,COFFEE AND CIGARETTES,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.166667,,Roy made with coffee liqueur. It’s such a simple,
1790,205,COFFEE AND CIGARETTES,BITTERMENS XOCOLATL MOLE BITTERS,BITTERS (CHOCOLATE),0.0625,,"idea, but it completely changes the drink.—TW",
1791,,,,,,,,
1792,,,,,,,,
1793,205,CURE FOR PAIN,RITTENHOUSE 100 RYE,WHISKEY (RYE),1.5,GARNISH: 1 ORANGE TWIST,BRIAN MILLER 2009,
1794,205,CURE FOR PAIN,STAGG BOURBON,WHISKEY (BOURBON),0.5,"Stir all the ingredients over ice, then strain into a",I created this twist on the Boulevardier in,
1795,205,CURE FOR PAIN,OTIMA 10-YEAR TAWNY PORT,WINE (PORT),0.5,coupe. Garnish with the orange twist.,"honor of one of our longtime regulars, Anthony",
1796,205,CURE FOR PAIN,CARPANO ANTICA FORMULA VERMOUTH,VERMOUTH (SWEET),0.5,,Sarnicola.—BM,
1797,205,CURE FOR PAIN,CAMPARI,AMARO (APERITIVO),0.166667,,,
1798,205,CURE FOR PAIN,MARIE BRIZARD WHITE CRÈME DE CACAO,LIQUEUR (CRÈME DE CACAO),0.166667,,,
1799,,,,,,,,
1800,205,THE DANGEROUS SUMMER,YAMAZAKI 12-YEAR WHISKEY,WHISKEY (JAPANESE),1.5,Stir all the ingredients (except the orange twist),JOAQUÍN SIMÓ 2009,
1801,205,THE DANGEROUS SUMMER,DOLIN ROUGE VERMOUTH,VERMOUTH (SWEET),0.75,"over ice, then strain into a martini glass. Flame",This stirred variation of the classic Blood and,
1802,205,THE DANGEROUS SUMMER,SOLERNO BLOOD ORANGE LIQUEUR,LIQUEUR (BLOOD ORANGE),0.5,the orange twist over the drink and discard. No,Sand is named after a Hemingway book about,
1803,205,THE DANGEROUS SUMMER,MASSENEZ KIRSCH VIEUX CHERRY BRANDY,BRANDY (CHERRY),0.5,garnish.,bullfighters. I replaced the rich Cherry Heering,
1804,205,THE DANGEROUS SUMMER,ORANGE TWIST,TWIST (ORANGE),1 twist,,with dry cherry brandy and the orange juice,
1805,,,,,,,with blood orange liqueur.—JS,
1806,,,,,,,,
1807,,,,,,,,
1808,206,FAITHFUL SCOTSMAN,COMPASS BOX ASYLA SCOTCH,WHISKEY (SCOTCH BLENDED),1.5,"GARNISH: 1, PINEAPPLE LEAF",JOAQUÍN SIMÓ 2008,
1809,206,FAITHFUL SCOTSMAN,MASSENEZ CRÈME DE PÊCHE PEACH LIQUEUR,LIQUEUR (PEACH),0.25,"Stir all the ingredients, then strain into a double","The name of this single-serving, Scotch-based",
1810,206,FAITHFUL SCOTSMAN,PINEAPPLE JUICE,JUICE (PINEAPPLE),0.5,"rocks glass over 1, large ice cube. Garnish with the",punch is derived from the medieval notion that,
1811,206,FAITHFUL SCOTSMAN,LEMON JUICE,JUICE (LEMON),0.5,pineapple leaf.,cumin keeps chickens—and husbands—from,
1812,206,FAITHFUL SCOTSMAN,CUMIN SYRUP,SYRUP (CUMIN),0.25,,straying from the coop.—JS,
1813,,,,,,,,
1814,,,,,,,,
1815,206,FOUR IN HAND,OLD GRAND-DAD 114 BOURBON,WHISKEY (BOURBON),0.75,GARNISH: 1 ORANGE TWIST,SCOTT TEAGUE 2013,
1816,206,FOUR IN HAND,LAIRD’S BONDED APPLE BRANDY,BRANDY (APPLE),0.75,"Stir all the ingredients over ice, then strain into a","This is a no-apologies, complicated, high-proof",
1817,206,FOUR IN HAND,SMITH & CROSS RUM,RUM (JAMAICAN),0.25,rocks glass. Garnish with the orange twist.,drink—the kind Death & Co is famous for,
1818,206,FOUR IN HAND,GREEN CHARTREUSE,CHARTREUSE (GREEN),0.25,,making.—ST,
1819,206,FOUR IN HAND,CINNAMON BARK SYRUP,SYRUP (CINNAMON),0.166667,,,
